step,reward
710,-61.173326293514215
711,-11.019322138032877
712,-32.98494151467193
713,-2.1186444005240332
714,36.24489215006196
715,-165.9068400470295
716,-254.04027345399078
717,-91.19583159408694
718,-257.3658744188406
719,-134.33977473339738
720,-41.64156657388101
721,-10.607872223090794
722,-57.987045972650684
723,-139.71308528970133
724,-115.36499422862214
725,6.747240537087464
726,-37.04049396296813
727,4.336422491135565
728,-167.98791527405254
729,-194.27850649245187
730,-72.3467192010506
731,-118.41875072254372
732,-133.71110254058715
733,0.6235542526297024
734,-52.12699129385939
735,-52.43829158555555
736,-35.482649735433014
737,-75.49423724982125
738,-55.99966216945291
739,-30.765407685862513
740,-27.672565725887907
741,28.036897836045057
742,-22.936852581861174
743,-204.00977438099423
744,-28.827473199269335
745,-76.80303795188388
746,-20.78117660311341
747,-20.391561427127755
748,-82.64828184869509
749,-74.58624954695117
750,-76.58998380459612
751,15.92883738097592
752,-26.171054365162377
753,14.898545615843474
754,-271.21237584723644
755,-13.229900079813234
756,-1.0162230619109636
757,-20.39368946506748
758,-72.3951235093309
759,-148.8080639967049
760,-137.92266267078466
761,7.900329930122638
762,-243.4633222309109
763,-54.50520174675057
764,8.353201761633429
765,-17.277633062852203
766,-212.70687741291175
767,-168.10684923878847
768,-95.8806045410229
769,-49.004811228269915
770,-46.166286095600185
771,-0.7405372305586155
772,-39.900489176640136
773,-71.80724584667807
774,-82.03176371735806
775,-163.33634729757506
776,-63.61348418602057
777,-51.11477920855769
778,-24.548483922355587
779,-81.47426497857228
780,-278.2343660876476
781,-60.31940212302956
782,-54.32468022299409
783,-4.849105639705996
784,-68.2758146337239
785,-32.75943194442746
786,-246.59801390823648
787,-44.74129385893913
788,-133.36156337247854
789,-11.717824021342338
790,-74.86971991689079
791,-55.938405294006174
792,-56.430008786093765
793,-59.22893326546806
794,-66.85636881035127
795,-79.39530331087902
796,-39.98711201488521
797,-5.641057556658893
798,-144.59780470107236
799,-27.81540622982737
800,-41.77407433884338
801,-49.2171418993569
802,-35.83368257785929
803,-97.65943743263104
804,-71.69105552621525
805,-74.56506669773741
806,-63.8319728696907
807,-75.9350552771924
808,-32.83338552537803
809,-76.03408502654055
810,-12.794647827397355
811,-2.950629373984684
812,-28.190048366238955
813,-20.98943951405971
814,0.544691545162979
815,-37.72363089569051
816,-25.97062604470444
817,-50.954771078752565
818,-13.884093972078272
819,-0.6663619399994141
820,-8.35910717441939
821,-42.22433287891456
822,-10.826011763431465
823,-30.707773800367946
824,-28.847247504420565
825,-2.6165081877517133
826,-45.052918210037966
827,-17.07782016007757
828,-39.61401330120288
829,-42.25247696801426
830,-9.888925635198854
831,-46.70127168390672
832,-0.682031028837488
833,-43.27687411119069
834,-4.852448460653631
835,-63.49750418402254
836,-55.63478953044461
837,-57.861691138573605
838,-6.664193993045276
839,-23.906802647735038
840,-3.225742465819266
841,-2.4648276217416063
842,-26.188485070062494
843,-42.2379854527307
844,-13.565496696898803
845,-26.548370288818926
846,-59.254998151664935
847,-66.91517516747058
848,-48.800558446777764
849,-41.60846314628564
850,-40.72870585850119
851,-62.47273201828713
852,-7.014161758972014
853,3.42304798992354
854,-51.59653604175478
855,-21.699480745221155
856,-35.52453825849156
857,-25.20004720235946
858,-85.86000052969443
859,-63.907357663724255
860,-51.36839226990266
861,-43.56164839079021
862,-49.550668548467875
863,-50.76005443631514
864,-35.999537610201436
865,-13.697930088355083
866,-38.71484633334793
867,-52.52185102458432
868,-43.72523382848039
869,-20.943437810773897
870,-14.87384274173066
871,5.240865151975419
872,-42.89164312347892
873,-10.249125490997123
874,-25.115033399284528
875,-12.575059309059192
876,-43.75709771092242
877,-28.691069515017794
878,-84.24836080328227
879,-24.61936645183547
880,-46.27452813038296
881,-36.62732389871873
882,-74.9674258685595
883,-45.783328229925914
884,-54.39389901516928
885,-35.29675354456493
886,-59.7646865462499
887,-6.24267452961829
888,-38.656647743882544
889,-78.23548750308342
890,-51.630427138694735
891,151.68088105634635
